PIX paid in 4x,PIX parcelado em 4x
interest-free,sem juros
4 fortnightly installments,4 parcelas quinzenais
"the first installment is paid on the spot, the other three","A primeira parcela é paga no ato, as outras três"
every 15 days,a cada 15 dias
no card,Sem cartão
"our installment is done by pix, with approval in seconds","Nosso parcelamento é feito por PIX, com aprovação em segundos"
Payment Information Additional,Informações de Pagamento adicionais
"Credentials","Credenciais"
"Refund Endpoint","URL de reembolso"
"Capture Endpoint","Url de captura"
"Payment Endpoint","Url de pagamento"
"Checkout Endpoint","Url de checkout"
"Token Endpoint","Url do token"
"Installment in PIX","Parcele no PIX"
"in 4x of","em 4x de"
"Installment in 1+3 fortnightly","Parcelamento em 1+3 quinzenais"
"interest-free","sem juros"
"Registration and approval in 2 minutes","Cadastro e aprovação em 2 minutos"
"PIX is required","É necessário ter PIX"
"Just choose","É só escolher"
"Pay PIX 4x interest free","Pagaleve PIX 4x sem juros"
"on the payment page","na página de pagamento"
"subject to approval","sujeito a aprovação"
"Payment at PIX, without card","Parcele no PIX, sem cartão"
"know more","saiba mais"
"Integrate to Pagaleve","Integrar com a Pagaleve"
"Creditmemo integrated success","Reembolso integral com sucesso"
"Place Order at Pagaleve","Finalizar pagamento na Pagaleve"
"Checkout ID","ID do checkout"
"Payment ID","ID do pagamento"
"Release Date","Expiração da autorização"
"It was not possible to complete this transaction at this time, please try again in a few moments.","Não foi possível realizar essa transação nesse momento, por favor tente novamente em alguns instantes."
"This transaction could not be performed, please contact Pagaleve","Não foi possível realizar essa transação, por favor entre em contato com a Pagaleve"
"Retry deadline","Tempo para retentativas"
"Enabled Transparent Checkout","Habilitar Checkout Transparente"
"Your payment will start soon, a pop-up will open to you complete the payment. Please wait.","Seu pagamento irá iniciar em breve, uma pop-up irá abrir para você completar o pagamento. Por favor aguarde."
"Pix UpFront","Pix à Vista"
"PIX UpFront","PIX à Vista"
"Pagaleve - PIX UpFront","Pagaleve - PIX à Vista"
"Pagaleve - PIX paid in 4x","Pagaleve - PIX parcelado em 4x"
"Current Module Version: %1","Versão atual do módulo: %1"
"Payment Confirmed Status","Status de Pagamento Confirmado"
"Secret Key","Chave Secreta"
